#
 0,             smart,40,  0.01,  0.03, * ---               |                   ,  0.00,  0.12
 0,             smart,50,  0.01,  0.03, *----               |                   ,  0.00,  0.09
#
 1,             smart,20,  0.03,  0.04,  * ----             |                   ,  0.00,  0.13
 1,             smart,30,  0.03,  0.05, -*  ---             |                   ,  0.00,  0.16
#
 2,              dumb,50,  0.06,  0.02,  - *-               |                   ,  0.03,  0.09
 2,              dumb,40,  0.06,  0.03,  --* --             |                   ,  0.01,  0.15
 2,              dumb,30,  0.07,  0.02,   - *-              |                   ,  0.03,  0.12
#
 3,              dumb,20,  0.09,  0.04,    - *--            |                   ,  0.04,  0.18
#
 4,            asIs,1343,  0.29,  0.15,          ---     *  |-------            ,  0.03,  0.67
