#
 0,                  smart,20,  0.00,  0.25, *        --         |                   ,  0.00,  0.00,  0.00,  0.25,  0.28
 0,                  smart,30,  0.00,  0.00, *--                 |                   ,  0.00,  0.00,  0.00,  0.00,  0.10
 0,                  smart,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,                  smart,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
#
 1,                   dumb,40,  0.10,  0.13, ---*    --          |                   ,  0.00,  0.09,  0.10,  0.21,  0.25
 1,                   dumb,30,  0.16,  0.13, ---   * ---         |                   ,  0.00,  0.09,  0.16,  0.21,  0.29
 1,                   dumb,20,  0.17,  0.12, ------*    --       |                   ,  0.00,  0.16,  0.17,  0.28,  0.33
 1,                   dumb,50,  0.17,  0.05, ------* --          |                   ,  0.00,  0.16,  0.17,  0.21,  0.25
#
 2,              baseline,206,  0.60,  0.24,              ------ |   *    ------     ,  0.33,  0.49,  0.60,  0.73,  0.88
