#
 0,                  smart,40,  0.07,  0.01, -----*-------       |                   ,  0.00,  0.07,  0.07,  0.08,  0.17
 0,                  smart,30,  0.08,  0.01,       *-------------|---                ,  0.07,  0.07,  0.08,  0.09,  0.32
 0,                  smart,50,  0.09,  0.01,       *             |                   ,  0.07,  0.07,  0.09,  0.09,  0.10
 0,                  smart,20,  0.09,  0.02,      -*--           |                   ,  0.07,  0.08,  0.09,  0.10,  0.13
 0,                   dumb,50,  0.09,  0.02,     - *-            |                   ,  0.06,  0.07,  0.09,  0.09,  0.12
 0,                   dumb,30,  0.09,  0.02,     - *-            |                   ,  0.06,  0.08,  0.09,  0.09,  0.11
 0,                   dumb,40,  0.09,  0.02,      -* -           |                   ,  0.07,  0.09,  0.09,  0.11,  0.13
#
 1,                   dumb,20,  0.11,  0.02,       -*--          |                   ,  0.09,  0.09,  0.11,  0.12,  0.14
#
 2,             baseline,1512,  0.18,  0.09,          --  *    --|--------           ,  0.12,  0.15,  0.18,  0.24,  0.39
