#
 0,                   dumb,40,  0.47,  0.10,      *-----         |                   ,  0.39,  0.39,  0.47,  0.49,  0.56
 0,                   dumb,50,  0.47,  0.08, ---- *   -          |                   ,  0.39,  0.45,  0.47,  0.53,  0.54
#
 1,                  smart,50,  0.49,  0.11, ----  *    -----    |                   ,  0.39,  0.45,  0.49,  0.56,  0.63
#
 2,                   dumb,20,  0.53,  0.03, -------- *------    |                   ,  0.39,  0.52,  0.53,  0.55,  0.64
 2,                   dumb,30,  0.54,  0.06,     --   *--        |                   ,  0.45,  0.49,  0.54,  0.55,  0.59
#
 3,                  smart,20,  0.56,  0.10,         -  *    -   |                   ,  0.52,  0.53,  0.56,  0.63,  0.65
 3,                  smart,30,  0.56,  0.08,       --   *  ----- |                   ,  0.49,  0.52,  0.56,  0.60,  0.69
 3,                  smart,40,  0.56,  0.05, --------   *--      |                   ,  0.39,  0.52,  0.56,  0.57,  0.60
#
 4,              baseline,196,  0.74,  0.11,              ------ |  *   ------------ ,  0.59,  0.69,  0.74,  0.80,  0.99
