#
 0,                   dumb,40,  0.26,  0.07,  --- * --           |                   ,  0.17,  0.23,  0.26,  0.31,  0.34
 0,                   dumb,30,  0.26,  0.11,   -  *  --          |                   ,  0.19,  0.22,  0.26,  0.33,  0.36
 0,                   dumb,50,  0.28,  0.11,  --   * -           |                   ,  0.17,  0.21,  0.28,  0.32,  0.34
#
 1,                   dumb,20,  0.32,  0.03,      -- *---        |                   ,  0.26,  0.30,  0.32,  0.33,  0.41
 1,                  smart,20,  0.34,  0.13,    ---   *  --      |                   ,  0.21,  0.28,  0.34,  0.41,  0.46
 1,                  smart,50,  0.34,  0.13,  ----    * --       |                   ,  0.17,  0.25,  0.34,  0.38,  0.42
 1,                  smart,40,  0.34,  0.13,   ----   *  ----    |                   ,  0.19,  0.27,  0.34,  0.41,  0.48
 1,                  smart,30,  0.35,  0.10,       -- *   --     |                   ,  0.27,  0.32,  0.35,  0.42,  0.48
#
 2,              baseline,756,  0.55,  0.26,            ----    *|      ------------ ,  0.39,  0.47,  0.55,  0.72,  0.98
