#
 0,             smart,50,  0.50,  0.12,  *       -          |                   ,  0.47,  0.62
 0,              dumb,40,  0.50,  0.06, - *   -             |                   ,  0.47,  0.59
#
 1,              dumb,50,  0.52,  0.04,    *---             |                   ,  0.47,  0.58
 1,              dumb,20,  0.53,  0.08, --  *  ----         |                   ,  0.47,  0.63
 1,              dumb,30,  0.53,  0.06,  -  * ----          |                   ,  0.47,  0.64
#
 2,             smart,40,  0.59,  0.11, -        *          |                   ,  0.47,  0.65
 2,             smart,30,  0.60,  0.11, -        *---       |                   ,  0.47,  0.71
 2,             smart,20,  0.61,  0.08, -----     *----     |                   ,  0.47,  0.74
#
 3,             asIs,196,  0.76,  0.13,           --------  |*      ----------- ,  0.47,  1.00
