#
 0,                  smart,20,  0.30,  0.20, *          ---------|------             ,  0.30,  0.30,  0.30,  0.50,  0.78
 0,                  smart,30,  0.30,  0.00, *                   |                   ,  0.30,  0.30,  0.30,  0.30,  0.30
 0,                  smart,40,  0.30,  0.00, *                   |                   ,  0.30,  0.30,  0.30,  0.30,  0.30
 0,                  smart,50,  0.30,  0.00, *                   |                   ,  0.30,  0.30,  0.30,  0.30,  0.30
#
 1,                   dumb,50,  0.44,  0.14,         *--------   |                   ,  0.30,  0.30,  0.44,  0.44,  0.60
 1,                   dumb,40,  0.45,  0.07, --------*   -----   |                   ,  0.30,  0.44,  0.45,  0.51,  0.60
 1,                   dumb,30,  0.47,  0.06, -------- * ------   |                   ,  0.30,  0.44,  0.47,  0.50,  0.60
#
 2,                   dumb,20,  0.50,  0.15, --------   *     -- |                   ,  0.30,  0.44,  0.50,  0.60,  0.65
#
 3,              baseline,259,  0.95,  0.12,                  ---|----------     * - ,  0.60,  0.86,  0.95,  0.97,  0.99
