#
 0,             smart,50,  0.00,  0.26, *         --        |                   ,  0.00,  0.33
 0,             smart,40,  0.01,  0.27, *         --        |                   ,  0.00,  0.31
#
 1,             smart,20,  0.03,  0.28,  *         -        |                   ,  0.00,  0.39
#
 2,             smart,30,  0.05,  0.27,  *        --        |                   ,  0.00,  0.34
 2,              dumb,50,  0.05,  0.15, - *    ----         |                   ,  0.00,  0.30
 2,              dumb,30,  0.06,  0.22, --*        -        |                   ,  0.00,  0.35
 2,              dumb,40,  0.06,  0.12, - *   -----         |                   ,  0.00,  0.32
#
 3,              dumb,20,  0.09,  0.24, -  *       ---      |                   ,  0.01,  0.42
#
 4,            asIs,1080,  0.43,  0.09,             ---  * -|-----              ,  0.00,  1.00
