#
 0,                   dumb,50,  0.51,  0.04,           - *-      |                   ,  0.47,  0.48,  0.51,  0.52,  0.53
 0,                  smart,50,  0.51,  0.03,      ------ *       |                   ,  0.38,  0.49,  0.51,  0.52,  0.53
 0,                  smart,40,  0.51,  0.08,   -------   *-      |                   ,  0.33,  0.45,  0.51,  0.53,  0.53
 0,                  smart,20,  0.52,  0.02,           -- *---   |                   ,  0.47,  0.51,  0.52,  0.53,  0.59
 0,                   dumb,40,  0.52,  0.02,            - *      |                   ,  0.49,  0.51,  0.52,  0.53,  0.53
 0,                  smart,30,  0.52,  0.02,          --- *      |                   ,  0.44,  0.51,  0.52,  0.53,  0.53
 0,                   dumb,20,  0.52,  0.01,             -*      |                   ,  0.51,  0.52,  0.52,  0.53,  0.54
 0,                   dumb,30,  0.53,  0.02,          --- *      |                   ,  0.46,  0.51,  0.53,  0.53,  0.53
#
 1,            baseline,10000,  1.00,  0.47,                     |                  *,  0.52,  0.53,  1.00,  1.00,  1.00
