#
 0,             smart,20,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 0,             smart,30,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 0,             smart,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,             smart,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,              dumb,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,              dumb,30,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 0,              dumb,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,              dumb,20,  0.00,  0.00, *                   |                   ,  0.00,  0.08
#
 1,             asIs,196,  0.25,  0.13, --------  *  ------ |                   ,  0.00,  1.00
