#
 0,             smart,20,  0.00,  0.00, *                   |                   ,  0.00,  0.08
 0,             smart,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,             smart,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,             smart,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,              dumb,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,              dumb,50,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,              dumb,30,  0.00,  0.00, *                   |                   ,  0.00,  0.07
 0,              dumb,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.09
#
 1,             asIs,196,  0.26,  0.13, --------  *  -----  |                   ,  0.00,  1.00
