#
 0,                  smart,40,  0.09,  0.02,   *------------     |                   ,  0.06,  0.08,  0.09,  0.09,  0.40
 0,                  smart,30,  0.09,  0.03, - *---------        |                   ,  0.03,  0.07,  0.09,  0.10,  0.34
 0,                  smart,50,  0.09,  0.16, - *     -------     |                   ,  0.03,  0.07,  0.09,  0.23,  0.41
 0,                   dumb,50,  0.09,  0.03,  -*-                |                   ,  0.07,  0.08,  0.09,  0.11,  0.13
#
 1,                   dumb,40,  0.11,  0.03,  - *                |                   ,  0.06,  0.09,  0.11,  0.12,  0.15
 1,                  smart,20,  0.11,  0.06,  - *-------         |                   ,  0.06,  0.09,  0.11,  0.14,  0.30
#
 2,                   dumb,20,  0.13,  0.23,    *        ---     |                   ,  0.08,  0.09,  0.13,  0.33,  0.41
 2,                   dumb,30,  0.13,  0.03,   -*-----           |                   ,  0.09,  0.10,  0.13,  0.14,  0.26
#
 3,             baseline,3840,  0.85,  0.04,                     |            * ---- ,  0.84,  0.84,  0.85,  0.88,  0.99
