#
 0,                   dumb,50,  0.14,  0.07,  -- * ------        |                   ,  0.07,  0.11,  0.14,  0.18,  0.33
 0,                   dumb,40,  0.18,  0.10,  --   *--           |                   ,  0.05,  0.11,  0.18,  0.20,  0.25
 0,                   dumb,30,  0.19,  0.10,  ---  * ---         |                   ,  0.05,  0.12,  0.19,  0.22,  0.31
#
 1,                   dumb,20,  0.26,  0.21,  ----    *    ----- |                   ,  0.05,  0.16,  0.26,  0.37,  0.49
 1,                  smart,20,  0.34,  0.33,  ---        *     --|--                 ,  0.05,  0.14,  0.34,  0.47,  0.59
 1,                  smart,50,  0.37,  0.33,  --           *  -- |                   ,  0.05,  0.11,  0.37,  0.44,  0.49
 1,                  smart,40,  0.39,  0.12,  -----------  *  ---|---                ,  0.05,  0.33,  0.39,  0.44,  0.61
 1,                  smart,30,  0.39,  0.26,   ---          *----|                   ,  0.09,  0.17,  0.39,  0.43,  0.53
#
 2,             baseline,2880,  0.94,  0.05,                     |             -- *- ,  0.86,  0.91,  0.94,  0.96,  1.00
