#
 0,                  smart,40,  0.17,  0.00, *-                  |                   ,  0.17,  0.17,  0.17,  0.17,  0.22
#
 1,                  smart,30,  0.19,  0.06, * ------------------|                   ,  0.17,  0.17,  0.19,  0.22,  0.60
 1,                  smart,50,  0.19,  0.06, * -----------       |                   ,  0.17,  0.17,  0.19,  0.22,  0.44
#
 2,                   dumb,50,  0.21,  0.03,  *                  |                   ,  0.17,  0.19,  0.21,  0.22,  0.22
#
 3,                   dumb,20,  0.22,  0.17, --*       ----      |                   ,  0.19,  0.22,  0.22,  0.39,  0.47
 3,                   dumb,30,  0.22,  0.01,  -*                 |                   ,  0.20,  0.21,  0.22,  0.22,  0.25
 3,                   dumb,40,  0.22,  0.02, - *-------          |                   ,  0.17,  0.21,  0.22,  0.22,  0.39
#
 4,                  smart,20,  0.39,  0.44, --        *         |  -----------      ,  0.17,  0.22,  0.39,  0.66,  0.89
#
 5,             baseline,1023,  0.83,  0.47,    --------------   |           *       ,  0.24,  0.53,  0.83,  1.00,  1.00
