#
 0,              dumb,40,  0.18,  0.06,        - *  --      |                   ,  0.06,  0.27
 0,              dumb,50,  0.18,  0.05,       -  *---       |                   ,  0.07,  0.26
 0,              dumb,30,  0.19,  0.08,           *  --     |                   ,  0.12,  0.28
 0,              dumb,20,  0.22,  0.10,    -----   *  -     |                   ,  0.04,  0.28
#
 1,             smart,40,  0.25,  0.06,       -----   *--   |                   ,  0.13,  0.33
 1,             smart,50,  0.27,  0.01,         ------ *    |                   ,  0.07,  0.29
 1,             smart,20,  0.27,  0.02,          ----- *    |                   ,  0.15,  0.40
 1,             smart,30,  0.27,  0.01,          ------*    |                   ,  0.13,  0.31
#
 2,           asIs,53662,  0.37,  0.02,                    -|*--                ,  0.14,  0.64
