#
 0,                  smart,50,  0.18,  0.04, * ----              |                   ,  0.17,  0.17,  0.18,  0.21,  0.29
 0,                  smart,40,  0.20,  0.04,  *-                 |                   ,  0.17,  0.17,  0.20,  0.21,  0.23
#
 1,                  smart,30,  0.21,  0.04, - *----             |                   ,  0.18,  0.20,  0.21,  0.24,  0.33
#
 2,                   dumb,50,  0.24,  0.03,    *                |                   ,  0.21,  0.22,  0.24,  0.25,  0.27
 2,                  smart,20,  0.25,  0.11, --  *  --           |                   ,  0.18,  0.22,  0.25,  0.33,  0.37
 2,                   dumb,40,  0.25,  0.03,   - *-              |                   ,  0.22,  0.24,  0.25,  0.27,  0.29
 2,                   dumb,30,  0.26,  0.04,   - *--             |                   ,  0.21,  0.24,  0.26,  0.28,  0.32
 2,                   dumb,20,  0.26,  0.09, --  * --            |                   ,  0.18,  0.22,  0.26,  0.31,  0.35
#
 3,              baseline,972,  0.48,  0.10,            --  *  --|---                ,  0.41,  0.45,  0.48,  0.54,  0.68
