#
 0,                  smart,30,  0.17,  0.02, *-                  |                   ,  0.17,  0.17,  0.17,  0.19,  0.22
 0,                  smart,40,  0.17,  0.00, *-                  |                   ,  0.17,  0.17,  0.17,  0.17,  0.22
 0,                  smart,50,  0.17,  0.02, *-                  |                   ,  0.17,  0.17,  0.17,  0.19,  0.22
#
 1,                   dumb,50,  0.21,  0.03,  *                  |                   ,  0.17,  0.19,  0.21,  0.22,  0.22
#
 2,                   dumb,20,  0.22,  0.17, --*       ----      |                   ,  0.19,  0.22,  0.22,  0.39,  0.47
 2,                  smart,20,  0.22,  0.26,   *          -------|-------------      ,  0.17,  0.19,  0.22,  0.44,  0.89
 2,                   dumb,30,  0.22,  0.01,  -*                 |                   ,  0.20,  0.21,  0.22,  0.22,  0.25
 2,                   dumb,40,  0.22,  0.02, - *-------          |                   ,  0.17,  0.21,  0.22,  0.22,  0.39
#
 3,             baseline,1023,  0.83,  0.47,    --------------   |           *       ,  0.24,  0.53,  0.83,  1.00,  1.00
