#
 0,             smart,50,  0.06,  0.01, *-----              |                   ,  0.05,  0.24
 0,             smart,40,  0.06,  0.02, *--------           |                   ,  0.05,  0.30
 0,              dumb,50,  0.06,  0.02, *                   |                   ,  0.05,  0.09
 0,              dumb,30,  0.07,  0.03, *------             |                   ,  0.05,  0.27
 0,              dumb,40,  0.07,  0.03,  *                  |                   ,  0.05,  0.09
 0,             smart,20,  0.08,  0.15,  *     ----         |                   ,  0.05,  0.31
#
 1,              dumb,20,  0.09,  0.04, -* ----             |                   ,  0.05,  0.26
#
 2,             smart,30,  0.17,  0.16,      *  --          |                   ,  0.05,  0.29
#
 3,            asIs,2736,  0.29,  0.11,  -------   * -------|-------            ,  0.05,  0.91
