#
 0,             smart,50,  0.22,  0.03,    - *--------      |                   ,  0.14,  0.47
 0,              dumb,30,  0.22,  0.03, ---- *------        |                   ,  0.14,  0.33
 0,              dumb,50,  0.22,  0.02,    - *              |                   ,  0.14,  0.24
 0,              dumb,20,  0.23,  0.02,      * -------      |                   ,  0.19,  0.36
 0,             smart,20,  0.23,  0.01,    -- *-----        |                   ,  0.18,  0.32
 0,             smart,40,  0.23,  0.03, ----  *-----        |                   ,  0.14,  0.32
 0,             smart,30,  0.23,  0.03,    -  *-------      |                   ,  0.14,  0.36
 0,              dumb,40,  0.23,  0.02,    -  *-            |                   ,  0.14,  0.34
#
 1,            asIs,3008,  0.41,  0.31,                   * |              --   ,  0.36,  0.74
