#
 0,                  smart,50,  0.01,  0.03,  *    -----         |                   ,  0.00,  0.00,  0.01,  0.04,  0.06
 0,                   dumb,50,  0.01,  0.02,  *  -               |                   ,  0.00,  0.01,  0.01,  0.02,  0.03
 0,                   dumb,40,  0.01,  0.02,  *  --              |                   ,  0.00,  0.00,  0.01,  0.03,  0.04
 0,                  smart,30,  0.02,  0.04,   *    ---------    |                   ,  0.00,  0.01,  0.02,  0.04,  0.09
 0,                  smart,40,  0.02,  0.02,    *-----------     |                   ,  0.00,  0.01,  0.02,  0.03,  0.08
 0,                   dumb,30,  0.03,  0.02, -   *-------        |                   ,  0.01,  0.01,  0.03,  0.03,  0.07
 0,                   dumb,20,  0.03,  0.02,   --*  -            |                   ,  0.02,  0.03,  0.03,  0.04,  0.05
#
 1,                  smart,20,  0.05,  0.06, ----    *       --- |                   ,  0.01,  0.03,  0.05,  0.09,  0.10
#
 2,             baseline,3840,  0.15,  0.04,   ------------------|-      *-          ,  0.02,  0.12,  0.15,  0.16,  0.16
