#
 0,              dumb,50,  0.04,  0.01, *-----              |                   ,  0.04,  0.08
 0,              dumb,20,  0.05,  0.03,  *  -----------     |                   ,  0.04,  0.14
 0,              dumb,40,  0.05,  0.03,   *  --             |                   ,  0.04,  0.08
#
 1,              dumb,30,  0.06,  0.02, --  *-              |                   ,  0.04,  0.10
 1,             smart,50,  0.06,  0.03, --- *  ---          |                   ,  0.04,  0.10
 1,             smart,20,  0.06,  0.03, ---  *  ----        |                   ,  0.04,  0.11
#
 2,             smart,40,  0.09,  0.03,    --   * -         |                   ,  0.04,  0.11
 2,             smart,30,  0.09,  0.03, -----   *           |                   ,  0.04,  0.13
#
 3,            asIs,5184,  0.13,  0.04,            --   *   |-----              ,  0.08,  0.27
