#
 0,             smart,40,  0.31,  0.01, *                   |                   ,  0.31,  0.58
 0,             smart,50,  0.31,  0.01, *                   |                   ,  0.31,  0.58
 0,             smart,30,  0.32,  0.01, *--                 |                   ,  0.31,  0.58
 0,              dumb,40,  0.32,  0.00, *                   |                   ,  0.31,  0.33
 0,              dumb,50,  0.32,  0.01, *                   |                   ,  0.31,  0.33
 0,             smart,20,  0.32,  0.01, *---------------    |                   ,  0.31,  0.61
 0,              dumb,30,  0.33,  0.01,  *                  |                   ,  0.31,  0.35
 0,              dumb,20,  0.33,  0.01, -*                  |                   ,  0.31,  0.59
#
 1,            asIs,4608,  0.62,  0.34,  ----             * |    -------------  ,  0.31,  0.99
