#
 0,                  smart,40,  0.03,  0.01, -*                  |                   ,  0.01,  0.02,  0.03,  0.03,  0.05
 0,                  smart,30,  0.03,  0.01, -*--------          |                   ,  0.02,  0.03,  0.03,  0.04,  0.23
 0,                  smart,50,  0.03,  0.01, -*--------          |                   ,  0.01,  0.02,  0.03,  0.04,  0.22
#
 1,                  smart,20,  0.07,  0.21,    *       -----    |                   ,  0.03,  0.04,  0.07,  0.25,  0.36
 1,                   dumb,40,  0.08,  0.04,  --*--------        |                   ,  0.03,  0.07,  0.08,  0.10,  0.26
 1,                   dumb,50,  0.09,  0.19,  -  *      -        |                   ,  0.03,  0.05,  0.09,  0.24,  0.28
#
 2,                   dumb,30,  0.11,  0.16,  --- *     -        |                   ,  0.04,  0.09,  0.11,  0.24,  0.27
#
 3,                   dumb,20,  0.25,  0.18,  ---       *----    |                   ,  0.03,  0.10,  0.25,  0.28,  0.35
#
 4,             baseline,6840,  0.55,  0.37,   ----------        |    *    --        ,  0.06,  0.27,  0.55,  0.65,  0.70
