#
 0,             smart,30,  0.30,  0.11,           -  *    --|                   ,  0.21,  0.42
 0,             smart,50,  0.30,  0.11,        ---   *   ---|                   ,  0.19,  0.45
 0,              dumb,50,  0.33,  0.04,            --- * -- |                   ,  0.25,  0.42
 0,              dumb,40,  0.34,  0.07,            --   * --|                   ,  0.23,  0.42
 0,             smart,40,  0.35,  0.06,          -----   *- |                   ,  0.11,  0.44
#
 1,             smart,20,  0.36,  0.08,            ----   * |--                 ,  0.19,  0.49
 1,              dumb,20,  0.36,  0.03,           ------- *-|-                  ,  0.22,  0.43
#
 2,              dumb,30,  0.39,  0.03,               ---- *|----               ,  0.22,  0.49
#
 3,           asIs,65536,  0.44,  0.10,               ----- |  *  ----          ,  0.10,  0.68
