#
 0,             smart,50,  0.23,  0.02,              - *    |                   ,  0.06,  0.34
 0,             smart,40,  0.23,  0.02,                *----|----               ,  0.21,  0.40
#
 1,             smart,30,  0.25,  0.03,               - *---|-----              ,  0.00,  0.43
#
 2,              dumb,40,  0.27,  0.04,                 -* -|---                ,  0.22,  0.42
 2,              dumb,50,  0.27,  0.03,                  * -|                   ,  0.22,  0.34
#
 3,              dumb,30,  0.29,  0.05,                 -- *|-------            ,  0.24,  0.45
 3,             smart,20,  0.29,  0.11,                --  *|   ---             ,  0.24,  0.42
#
 4,              dumb,20,  0.39,  0.11,                   --|    *  -           ,  0.26,  0.48
#
 5,           asIs,86058,  0.47,  0.06,                    -|-------   *----    ,  0.04,  0.61
