#
 0,                  smart,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,                  smart,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,                  smart,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,                  smart,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.03
 0,                   dumb,50,  0.00,  0.01, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.02
 0,                   dumb,40,  0.01,  0.01, *-                  |                   ,  0.00,  0.00,  0.01,  0.01,  0.04
 0,                   dumb,30,  0.01,  0.02, *-                  |                   ,  0.00,  0.01,  0.01,  0.02,  0.03
 0,                   dumb,20,  0.02,  0.02,  *                  |                   ,  0.00,  0.01,  0.02,  0.03,  0.03
#
 1,             baseline,1152,  0.07,  0.06,  --  * -------------|-------            ,  0.02,  0.04,  0.07,  0.11,  0.41
