#
 0,                  smart,40,  0.57,  0.07, *     --------------|-                  ,  0.57,  0.57,  0.57,  0.64,  0.81
 0,                  smart,50,  0.57,  0.00, *-------------------|-                  ,  0.57,  0.57,  0.57,  0.57,  0.81
#
 1,                  smart,30,  0.64,  0.24,       *             | ---               ,  0.57,  0.57,  0.64,  0.81,  0.85
 1,                   dumb,50,  0.64,  0.19, ------*             |   --              ,  0.57,  0.64,  0.64,  0.83,  0.85
#
 2,                  smart,20,  0.81,  0.03, --------------------|-* -----           ,  0.57,  0.81,  0.81,  0.84,  0.89
 2,                   dumb,40,  0.81,  0.19,       -             | *  -----          ,  0.64,  0.65,  0.81,  0.85,  0.90
 2,                   dumb,30,  0.82,  0.11,       -----------   |  *   ---          ,  0.64,  0.76,  0.82,  0.86,  0.90
#
 3,                   dumb,20,  0.85,  0.08,       --------------|-   *   --         ,  0.64,  0.81,  0.85,  0.89,  0.91
#
 4,               baseline,93,  0.96,  0.08,                   --|---------      * - ,  0.77,  0.90,  0.96,  0.98,  0.99
