#
 0,                  smart,40,  0.12,  0.05,  *-                 |                   ,  0.08,  0.09,  0.12,  0.15,  0.17
 0,                  smart,50,  0.12,  0.05,  *------            |                   ,  0.08,  0.09,  0.12,  0.15,  0.27
#
 1,                  smart,30,  0.21,  0.13,      *-----         |                   ,  0.08,  0.10,  0.21,  0.23,  0.36
 1,                   dumb,50,  0.21,  0.16,      * -            |                   ,  0.09,  0.10,  0.21,  0.26,  0.28
 1,                   dumb,40,  0.23,  0.14, -     *----         |                   ,  0.09,  0.12,  0.23,  0.26,  0.36
#
 2,                  smart,20,  0.26,  0.13, -----  *   ------   |                   ,  0.09,  0.21,  0.26,  0.34,  0.48
 2,                   dumb,20,  0.27,  0.14,  ------*     ----   |                   ,  0.12,  0.26,  0.27,  0.40,  0.47
 2,                   dumb,30,  0.27,  0.06,  ----- *-------     |                   ,  0.12,  0.22,  0.27,  0.28,  0.43
#
 3,              baseline,500,  0.70,  0.20,               ------|-     *   -------- ,  0.42,  0.61,  0.70,  0.81,  1.00
