#
 0,                  smart,40,  0.06,  0.07,   *---              |                   ,  0.03,  0.03,  0.06,  0.10,  0.16
 0,                  smart,50,  0.07,  0.05,  -* --              |                   ,  0.03,  0.05,  0.07,  0.10,  0.15
 0,                  smart,30,  0.09,  0.12,  - *  ---           |                   ,  0.03,  0.05,  0.09,  0.17,  0.24
#
 1,                   dumb,40,  0.13,  0.07,   -- *----          |                   ,  0.05,  0.10,  0.13,  0.17,  0.26
 1,                   dumb,50,  0.13,  0.07,   -  *--            |                   ,  0.05,  0.09,  0.13,  0.16,  0.21
 1,                  smart,20,  0.15,  0.15,  --- *    ---       |                   ,  0.03,  0.10,  0.15,  0.25,  0.34
 1,                   dumb,30,  0.16,  0.10,   -   *----         |                   ,  0.07,  0.10,  0.16,  0.19,  0.30
 1,                   dumb,20,  0.16,  0.18,  -    *   --        |                   ,  0.03,  0.07,  0.16,  0.25,  0.32
#
 2,              baseline,500,  0.63,  0.22,            -------- |    *  ------      ,  0.29,  0.50,  0.63,  0.72,  0.85
