#
 0,             smart,50,  0.12,  0.03,    *-               |                   ,  0.11,  0.24
#
 1,             smart,30,  0.14,  0.03,   -*--              |                   ,  0.05,  0.22
 1,             smart,40,  0.15,  0.04,   - *               |                   ,  0.08,  0.19
 1,              dumb,50,  0.15,  0.03,   - *-              |                   ,  0.05,  0.20
 1,              dumb,40,  0.15,  0.05,  -- *-              |                   ,  0.05,  0.21
 1,              dumb,30,  0.16,  0.08,   - *               |                   ,  0.05,  0.28
#
 2,             smart,20,  0.17,  0.07,      *----          |                   ,  0.05,  0.36
#
 3,              dumb,20,  0.20,  0.05,    -- *--           |                   ,  0.05,  0.40
#
 4,             asIs,500,  0.50,  0.31,       ------       *|    -------        ,  0.05,  1.00
