#
 0,                  smart,50,  0.00,  0.00, *--------           |                   ,  0.00,  0.00,  0.00,  0.00,  0.10
 0,                  smart,40,  0.00,  0.00, *-----------        |                   ,  0.00,  0.00,  0.00,  0.00,  0.12
 0,                  smart,30,  0.00,  0.00, *-----              |                   ,  0.00,  0.00,  0.00,  0.00,  0.06
 0,                   dumb,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,                   dumb,30,  0.00,  0.01, *-                  |                   ,  0.00,  0.00,  0.00,  0.01,  0.02
 0,                  smart,20,  0.00,  0.01, *---                |                   ,  0.00,  0.00,  0.00,  0.01,  0.04
 0,                   dumb,40,  0.00,  0.01, *-                  |                   ,  0.00,  0.00,  0.00,  0.01,  0.03
 0,                   dumb,20,  0.01,  0.02, *                   |                   ,  0.00,  0.00,  0.01,  0.02,  0.02
#
 1,             baseline,2880,  0.06,  0.05, ----  *  -----      |                   ,  0.00,  0.04,  0.06,  0.09,  0.14
