#
 0,             smart,50,  0.05,  0.02, -*--                |                   ,  0.01,  0.32
#
 1,             smart,40,  0.06,  0.06,  -* -               |                   ,  0.01,  0.20
#
 2,             smart,30,  0.09,  0.06,  - *---             |                   ,  0.01,  0.26
#
 3,              dumb,30,  0.11,  0.07,   --* ---           |                   ,  0.00,  0.30
 3,              dumb,40,  0.12,  0.03,    -*--             |                   ,  0.06,  0.22
 3,              dumb,50,  0.13,  0.08,  --  *-             |                   ,  0.03,  0.22
 3,             smart,20,  0.14,  0.07,  --- * ---          |                   ,  0.01,  0.30
#
 4,              dumb,20,  0.16,  0.06,     - *----         |                   ,  0.09,  0.28
#
 5,           asIs,10000,  0.44,  0.16,          -----   *  |-----              ,  0.03,  1.00
