#
 0,             smart,40,  0.09,  0.04,  - *--              |                   ,  0.03,  0.18
#
 1,             smart,50,  0.12,  0.05,  -  *-              |                   ,  0.01,  0.20
 1,             smart,30,  0.13,  0.08,     * -----         |                   ,  0.06,  0.31
#
 2,              dumb,50,  0.14,  0.03,    - *-             |                   ,  0.04,  0.21
#
 3,              dumb,40,  0.16,  0.05,     -* --           |                   ,  0.09,  0.25
 3,              dumb,30,  0.18,  0.05,       *---          |                   ,  0.04,  0.28
 3,             smart,20,  0.18,  0.10,   --- *  --         |                   ,  0.04,  0.32
#
 4,              dumb,20,  0.21,  0.06,    --- *----        |                   ,  0.07,  0.40
#
 5,           asIs,10000,  0.45,  0.15,          -----   *  |----               ,  0.07,  1.00
