#
 0,             smart,50,  0.08,  0.03, --*--               |                   ,  0.03,  0.38
#
 1,             smart,40,  0.09,  0.03,  - *--              |                   ,  0.03,  0.18
#
 2,              dumb,40,  0.12,  0.07,   - * --            |                   ,  0.06,  0.23
 2,              dumb,50,  0.12,  0.04,   - *-              |                   ,  0.05,  0.16
 2,             smart,30,  0.12,  0.04,  --  *--            |                   ,  0.05,  0.19
#
 3,              dumb,30,  0.14,  0.05,    -- *--           |                   ,  0.08,  0.25
 3,             smart,20,  0.16,  0.05,  ---- *----         |                   ,  0.03,  0.26
 3,              dumb,20,  0.17,  0.07,     -  *--          |                   ,  0.10,  0.25
#
 4,           asIs,10000,  0.39,  0.16,           ----    * |  ----             ,  0.05,  0.81
