#
 0,             smart,40,  0.07,  0.01, -----*-------       |                   ,  0.00,  0.32
 0,             smart,30,  0.08,  0.01,       *-------------|---                ,  0.07,  0.35
 0,             smart,50,  0.09,  0.01,       *             |                   ,  0.00,  0.11
 0,             smart,20,  0.09,  0.02,      -*--           |                   ,  0.00,  0.14
 0,              dumb,50,  0.09,  0.02,     - *-            |                   ,  0.00,  0.12
 0,              dumb,30,  0.09,  0.02,     - *-            |                   ,  0.06,  0.12
 0,              dumb,40,  0.09,  0.02,      -* -           |                   ,  0.06,  0.17
#
 1,              dumb,20,  0.11,  0.02,       -*--          |                   ,  0.08,  0.21
#
 2,            asIs,1512,  0.18,  0.09,          --  *    --|--------           ,  0.00,  0.53
